Periode,Wilayah,Kode Wilayah,Kota/Kab,Kode Kota/Kab,Status Sekolah,Tingkat - I,Tingkat - II,Tingkat - III,Tingkat - IV,Tingkat - V,Tingkat - VI,Jumlah
2016,PROV. ACEH,11,KAB. ACEH SELATAN,1101,Negeri,16,11,4,6,8,10,55
2016,PROV. ACEH,11,KAB. ACEH SELATAN,1101,Swasta,0,0,0,0,0,0,0
2016,PROV. ACEH,11,KAB. ACEH TENGGARA,1102,Swasta,3,2,5,7,4,1,22
2016,PROV. ACEH,11,KAB. ACEH TENGGARA,1102,Negeri,13,11,11,9,7,2,53
2016,PROV. ACEH,11,KAB. ACEH TIMUR,1103,Swasta,1,1,0,0,0,0,2
2016,PROV. ACEH,11,KAB. ACEH TIMUR,1103,Negeri,32,18,16,23,26,31,146
2016,PROV. ACEH,11,KAB. ACEH TENGAH,1104,Swasta,0,0,0,1,0,0,1
2016,PROV. ACEH,11,KAB. ACEH TENGAH,1104,Negeri,8,14,8,4,9,7,50
2016,PROV. ACEH,11,KAB. ACEH BARAT,1105,Swasta,0,0,0,0,0,0,0
2016,PROV. ACEH,11,KAB. ACEH BARAT,1105,Negeri,8,7,7,7,5,5,39
2016,PROV. ACEH,11,KAB. ACEH BESAR,1106,Swasta,0,0,0,0,0,0,0
2016,PROV. ACEH,11,KAB. ACEH BESAR,1106,Negeri,11,8,7,7,9,6,48
2016,PROV. ACEH,11,KAB. PIDIE,1107,Swasta,0,1,1,0,0,0,2
2016,PROV. ACEH,11,KAB. PIDIE,1107,Negeri,28,18,10,15,4,2,77
2016,PROV. ACEH,11,KAB. ACEH UTARA,1108,Swasta,0,0,0,0,0,0,0
2016,PROV. ACEH,11,KAB. ACEH UTARA,1108,Negeri,15,25,20,11,10,5,86
2016,PROV. ACEH,11,KAB. SIMEULUE,1109,Swasta,0,0,0,0,0,0,0
2016,PROV. ACEH,11,KAB. SIMEULUE,1109,Negeri,2,4,7,3,2,3,21
2016,PROV. ACEH,11,KAB. ACEH SINGKIL,1110,Negeri,10,10,8,5,7,7,47
2016,PROV. ACEH,11,KAB. ACEH SINGKIL,1110,Swasta,0,0,0,0,0,0,0
2016,PROV. ACEH,11,KAB. BIREUEN,1111,Swasta,0,0,0,0,1,0,1
2016,PROV. ACEH,11,KAB. BIREUEN,1111,Negeri,15,13,18,7,6,11,70
2016,PROV. ACEH,11,KAB. ACEH BARAT DAYA,1112,Swasta,0,0,0,0,0,0,0
2016,PROV. ACEH,11,KAB. ACEH BARAT DAYA,1112,Negeri,4,1,3,2,1,2,13
2016,PROV. ACEH,11,KAB. GAYO LUES,1113,Swasta,0,1,0,0,0,0,1
2016,PROV. ACEH,11,KAB. GAYO LUES,1113,Negeri,15,13,6,5,1,20,60
2016,PROV. ACEH,11,KAB. ACEH JAYA,1114,Negeri,2,5,4,4,0,3,18
2016,PROV. ACEH,11,KAB. ACEH JAYA,1114,Swasta,0,0,0,0,0,0,0
2016,PROV. ACEH,11,KAB. NAGAN RAYA,1115,Negeri,6,12,7,3,9,1,38
2016,PROV. ACEH,11,KAB. NAGAN RAYA,1115,Swasta,0,0,0,0,0,0,0
2016,PROV. ACEH,11,KAB. ACEH TAMIANG,1116,Negeri,3,5,2,4,6,2,22
2016,PROV. ACEH,11,KAB. ACEH TAMIANG,1116,Swasta,0,0,0,0,0,0,0
2016,PROV. ACEH,11,KAB. BENER MERIAH,1117,Swasta,0,0,0,0,0,0,0
2016,PROV. ACEH,11,KAB. BENER MERIAH,1117,Negeri,12,7,6,5,6,1,37
2016,PROV. ACEH,11,KAB. PIDIE JAYA,1118,Swasta,0,0,0,0,0,0,0
2016,PROV. ACEH,11,KAB. PIDIE JAYA,1118,Negeri,3,9,6,1,4,1,24
2016,PROV. ACEH,11,KOTA BANDA ACEH,1171,Negeri,6,8,7,2,5,1,29
2016,PROV. ACEH,11,KOTA BANDA ACEH,1171,Swasta,0,1,0,1,0,0,2
2016,PROV. ACEH,11,KOTA SABANG,1172,Swasta,0,0,0,0,0,0,0
2016,PROV. ACEH,11,KOTA SABANG,1172,Negeri,2,1,0,1,2,0,6
2016,PROV. ACEH,11,KOTA LHOKSEUMAWE,1173,Swasta,0,0,0,0,0,0,0
2016,PROV. ACEH,11,KOTA LHOKSEUMAWE,1173,Negeri,2,3,0,2,0,2,9
2016,PROV. ACEH,11,KOTA LANGSA,1174,Negeri,6,2,2,3,2,2,17
2016,PROV. ACEH,11,KOTA LANGSA,1174,Swasta,1,0,0,1,1,0,3
2016,PROV. ACEH,11,KOTA SUBULUSSALAM,1175,Negeri,3,7,3,1,5,3,22
2016,PROV. ACEH,11,KOTA SUBULUSSALAM,1175,Swasta,0,0,0,0,0,0,0
2016,PROV. SUMATERA UTARA,12,KAB. TAPANULI TENGAH,1201,Negeri,31,31,25,24,25,7,143
2016,PROV. SUMATERA UTARA,12,KAB. TAPANULI TENGAH,1201,Swasta,0,0,0,2,1,0,3
2016,PROV. SUMATERA UTARA,12,KAB. TAPANULI UTARA,1202,Negeri,17,14,7,7,9,10,64
